region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Guam,3,3,0,0,0,3,0,0.0,0.0
Honduras,3,0,0,0,0,3,0,0.3,0.0
Kenya,3,2,0,0,0,3,0,0.1,0.0
Seychelles,3,1,0,0,0,3,0,0.0,0.0
Monaco,2,0,0,0,0,2,0,0.0,0.0
Nigeria,2,0,0,0,1,1,0,0.0,0.0
Aruba,2,0,0,0,0,2,0,0.0,0.0
Cameroon,2,0,0,0,0,2,0,0.1,0.0
Curaçao,2,0,0,0,0,2,0,0.0,0.0
DRC,2,0,0,0,0,2,0,0.0,0.0
Namibia,2,0,0,0,0,2,0,0.8,0.0
Saint Lucia,2,1,0,0,0,2,0,0.0,0.0
Saint Martin,2,0,0,0,0,2,0,0.0,0.0
Trinidad and Tobago,2,0,0,0,0,2,0,1.4,0.0
Sudan,1,0,1,0,0,0,0,0.0,100.0
Nepal,1,0,0,0,1,0,0,0.0,0.0
Antigua and Barbuda,1,0,0,0,0,1,0,0.0,0.0
Bahamas,1,1,0,0,0,1,0,0.0,0.0
Bhutan,1,0,0,0,0,1,0,0.0,0.0
Cayman Islands,1,0,0,0,0,1,0,0.0,0.0
CAR,1,1,0,0,0,1,0,0.2,0.0
Congo,1,1,0,0,0,1,0,0.2,0.0
Equatorial Guinea,1,0,0,0,0,1,0,0.7,0.0
Gabon,1,0,0,0,0,1,0,0.4,0.0
Gibraltar,1,0,0,0,1,0,0,0.0,0.0
Guatemala,1,0,0,0,0,1,0,0.1,0.0
Guinea,1,0,0,0,0,1,0,0.1,0.0
Vatican City,1,0,0,0,0,1,0,0.0,0.0
Mauritania,1,0,0,0,0,1,0,0.2,0.0
Mayotte,1,0,0,0,0,1,0,0.0,0.0
Mongolia,1,0,0,0,0,1,0,0.3,0.0
Rwanda,1,0,0,0,0,1,0,0.1,0.0
St. Barth,1,0,0,0,0,1,0,0.0,0.0
St. Vincent Grenadines,1,0,0,0,0,1,0,0.0,0.0
Suriname,1,0,0,0,0,1,0,0.0,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Togo,1,0,0,0,0,1,0,0.1,0.0
U.S. Virgin Islands,1,0,0,0,0,1,0,0.0,0.0
Uzbekistan,1,1,0,0,0,1,0,0.0,0.0
