region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Maldives,13,0,0,0,3,10,0,24.0,0.0
Tanzania,12,6,0,0,0,12,0,0.2,0.0
Ethiopia,11,2,0,0,0,11,0,0.1,0.0
Mayotte,11,0,0,0,0,11,0,40.0,0.0
Mongolia,10,0,0,0,0,10,0,3.0,0.0
Aruba,8,3,0,0,1,7,0,75.0,0.0
Seychelles,7,0,0,0,0,7,0,71.0,0.0
Equatorial_Guinea,6,0,0,0,0,6,0,4.0,0.0
US_Virgin_Islands,6,0,0,0,0,6,0,57.0,0.0
Gabon,5,0,1,0,0,4,0,2.0,20.0
Isle_of_Man,5,3,0,0,0,5,0,59.0,0.0
Saint_Martin,5,0,0,0,0,5,0,129.0,0.0
Suriname,5,0,0,0,0,5,0,9.0,0.0
Bahamas,4,0,0,0,0,4,0,10.0,0.0
New_Caledonia,4,0,0,0,0,4,0,14.0,0.0
Eswatini,4,3,0,0,0,4,0,3.0,0.0
Cayman_Islands,3,0,1,0,0,2,0,46.0,33.33
Curaçao,3,0,1,0,0,2,0,18.0,33.33
Cabo_Verde,3,0,0,0,0,3,0,5.0,0.0
CAR,3,0,0,0,0,3,0,0.6,0.0
Congo,3,0,0,0,0,3,0,0.5,0.0
El_Salvador,3,0,0,0,0,3,0,0.5,0.0
Liberia,3,0,0,0,0,3,0,0.6,0.0
Madagascar,3,0,0,0,0,3,0,0.1,0.0
Namibia,3,0,0,0,0,3,0,1.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0
Zambia,3,1,0,0,0,3,0,0.2,0.0
Zimbabwe,3,0,0,0,0,3,0,0.2,0.0
Sudan,2,0,1,0,0,1,0,0.05,50.0
Angola,2,0,0,0,0,2,0,0.06,0.0
Benin,2,0,0,0,0,2,0,0.2,0.0
Bermuda,2,0,0,0,0,2,0,32.0,0.0
Bhutan,2,0,0,0,0,2,0,3.0,0.0
Fiji,2,0,0,0,0,2,0,2.0,0.0
Greenland,2,0,0,0,0,2,0,35.0,0.0
Guinea,2,0,0,0,0,2,0,0.2,0.0
Haiti,2,0,0,0,0,2,0,0.2,0.0
Mauritania,2,0,0,0,0,2,0,0.4,0.0
Nicaragua,2,0,0,0,0,2,0,0.3,0.0
Niger,2,1,0,0,0,2,0,0.08,0.0
Saint_Lucia,2,0,0,0,0,2,0,11.0,0.0
Nepal,1,0,0,0,1,0,0,0.03,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,10.0,0.0
Chad,1,0,0,0,0,1,0,0.06,0.0
Djibouti,1,0,0,0,0,1,0,1.0,0.0
Eritrea,1,0,0,0,0,1,0,0.3,0.0
Gambia,1,0,0,0,0,1,0,0.4,0.0
Vatican_City,1,0,0,0,0,1,0,1248.0,0.0
Montserrat,1,0,0,0,0,1,0,200.0,0.0
Mozambique,1,1,0,0,0,1,0,0.03,0.0
Papua_New_Guinea,1,0,0,0,0,1,0,0.1,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0
Sint_Maarten,1,0,0,0,0,1,0,23.0,0.0
Somalia,1,0,0,0,0,1,0,0.06,0.0
Timor-Leste,1,0,0,0,0,1,0,0.8,0.0
Uganda,1,0,0,0,0,1,0,0.02,0.0
Total,340408,35418,14573,1566,97571,228264,10622,43.7,4.28
