region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
China,80928,34,3245,8,70420,7263,2274,56.0,4.01
Italy,41035,5322,3405,427,4440,33190,2498,679.0,8.3
Iran,18407,1046,1284,149,5979,11144,0,219.0,6.98
Spain,17395,2626,803,165,1107,15485,800,372.0,4.62
Germany,14602,2275,44,16,113,14445,2,174.0,0.3
USA,11410,2151,171,21,108,11131,64,34.0,1.5
France,10995,1861,372,108,602,10021,931,168.0,3.38
S_Korea,8565,152,91,7,1947,6527,59,167.0,1.06
Switzerland,3944,829,41,8,15,3888,0,456.0,1.04
UK,3269,643,144,40,65,3060,20,48.0,4.41
Netherlands,2460,409,76,18,2,2382,45,144.0,3.09
Austria,2013,367,6,2,9,1998,12,224.0,0.3
Belgium,1795,309,21,7,165,1609,130,155.0,1.17
Norway,1758,167,7,1,1,1750,27,324.0,0.4
Sweden,1439,138,11,1,16,1412,21,142.0,0.76
Denmark,1151,94,6,2,1,1144,30,199.0,0.52
Japan,923,9,32,3,191,700,46,7.0,3.47
Malaysia,900,110,2,0,75,823,15,28.0,0.22
Canada,801,74,10,1,11,780,1,21.0,1.25
Portugal,785,143,3,1,4,778,20,77.0,0.38
Diamond_Princess,712,0,7,0,527,178,14,0.0,0.98
Australia,709,113,6,0,46,657,1,28.0,0.85
Czechia,694,172,0,0,3,691,6,65.0,0.0
Israel,573,140,0,0,14,559,6,66.0,0.0
Ireland,557,191,3,1,5,549,6,113.0,0.54
Brazil,534,5,6,2,2,526,18,3.0,1.12
Greece,464,46,6,1,19,439,16,45.0,1.29
Qatar,460,8,0,0,10,450,6,160.0,0.0
Pakistan,453,146,2,0,13,438,0,2.0,0.44
Finland,400,41,0,0,10,390,2,72.0,0.0
Poland,355,68,5,0,13,337,3,9.0,1.41
Singapore,345,32,0,0,124,221,14,59.0,0.0
Chile,342,104,0,0,0,342,6,18.0,0.0
Luxembourg,335,132,4,2,0,331,1,535.0,1.19
Iceland,330,80,0,0,5,325,1,967.0,0.0
Slovenia,319,33,1,0,0,318,6,153.0,0.31
Indonesia,308,81,25,6,15,268,0,1.0,8.12
Bahrain,277,21,1,0,100,176,4,163.0,0.36
Romania,277,17,0,0,25,252,5,14.0,0.0
Saudi_Arabia,274,36,0,0,8,266,0,8.0,0.0
Thailand,272,60,1,0,42,229,1,4.0,0.37
Estonia,267,9,0,0,1,266,1,201.0,0.0
Egypt,256,46,7,1,28,221,0,3.0,2.73
Peru,234,89,0,0,1,233,7,7.0,0.0
Philippines,217,15,17,0,8,192,1,2.0,7.83
Hong_Kong,208,15,4,0,98,106,4,28.0,1.92
Ecuador,199,31,3,0,1,195,2,11.0,1.51
Russia,199,52,1,1,8,190,0,1.0,0.5
India,194,25,4,1,20,170,0,0.1,2.06
Turkey,192,1,3,1,0,189,0,2.0,1.56
Iraq,177,13,12,0,49,116,0,4.0,6.78
Lebanon,157,24,4,0,4,149,3,23.0,2.55
South_Africa,150,34,0,0,0,150,0,3.0,0.0
Kuwait,148,6,0,0,18,130,5,35.0,0.0
San_Marino,140,0,14,0,4,122,11,4126.0,10.0
UAE,140,27,0,0,31,109,2,14.0,0.0
Slovakia,124,19,0,0,0,124,2,23.0,0.0
Armenia,122,12,0,0,1,121,2,41.0,0.0
Mexico,118,25,1,1,4,113,1,0.9,0.85
Croatia,110,21,1,1,5,104,0,27.0,0.91
Panama,109,0,1,0,0,108,7,25.0,0.92
Taiwan,108,8,1,0,26,81,0,5.0,0.93
Colombia,108,15,0,0,1,107,0,2.0,0.0
Bulgaria,107,15,3,1,0,104,0,15.0,2.8
Serbia,103,14,0,0,1,102,4,12.0,0.0
Argentina,97,0,3,1,3,91,0,2.0,3.09
Algeria,90,15,9,2,32,49,0,2.0,10.0
Latvia,86,15,0,0,1,85,0,46.0,0.0
Vietnam,85,9,0,0,16,69,0,0.9,0.0
Uruguay,79,0,0,0,0,79,0,23.0,0.0
Hungary,73,15,1,0,2,70,4,8.0,1.37
Brunei,73,5,0,0,0,73,2,167.0,0.0
Faeroe_Islands,72,14,0,0,1,71,0,1474.0,0.0
Costa_Rica,69,0,1,0,0,68,2,14.0,1.45
Jordan,69,13,0,0,1,68,0,7.0,0.0
Cyprus,67,9,0,0,0,67,1,55.0,0.0
Albania,64,5,2,0,0,62,2,22.0,3.12
Bosnia_and_Herzegovina,63,24,0,0,2,61,0,19.0,0.0
Morocco,61,7,2,0,2,57,1,2.0,3.28
Sri_Lanka,60,9,0,0,3,57,0,3.0,0.0
Andorra,53,0,0,0,1,52,0,686.0,0.0
Malta,53,5,0,0,2,51,0,120.0,0.0
Belarus,51,0,0,0,5,46,0,5.0,0.0
Moldova,49,13,1,0,1,47,3,12.0,2.04
North_Macedonia,49,6,0,0,1,48,1,24.0,0.0
Oman,48,9,0,0,13,35,0,9.0,0.0
Palestine,47,3,0,0,0,47,0,9.0,0.0
Azerbaijan,44,10,1,0,7,36,0,4.0,2.27
Kazakhstan,44,8,0,0,0,44,0,2.0,0.0
Venezuela,42,6,0,0,0,42,0,1.0,0.0
Lithuania,41,7,0,0,1,40,1,15.0,0.0
Georgia,40,2,0,0,1,39,1,10.0,0.0
Tunisia,39,10,1,1,1,37,2,3.0,2.56
Cambodia,37,0,0,0,1,36,0,2.0,0.0
Senegal,36,0,0,0,2,34,0,2.0,0.0
Dominican_Republic,34,0,2,0,0,32,0,3.0,5.88
Burkina_Faso,33,6,1,0,0,32,0,2.0,3.03
Guadeloupe,33,0,0,0,0,33,0,82.0,0.0
New_Zealand,28,8,0,0,0,28,0,6.0,0.0
Liechtenstein,28,0,0,0,0,28,0,734.0,0.0
Martinique,23,0,1,0,0,22,0,61.0,4.35
Uzbekistan,23,5,0,0,0,23,0,0.7,0.0
Afghanistan,22,0,0,0,1,21,0,0.6,0.0
Ukraine,21,5,3,1,0,18,0,0.5,14.29
Réunion,19,5,0,0,0,19,0,21.0,0.0
Bangladesh,18,4,1,0,3,14,0,0.1,5.56
Macao,17,0,0,0,10,7,0,26.0,0.0
Jamaica,15,0,1,0,2,12,0,5.0,6.67
Bolivia,15,3,0,0,0,15,0,1.0,0.0
French_Guiana,15,0,0,0,0,15,0,50.0,0.0
DRC,14,7,0,0,0,14,0,0.2,0.0
Cameroon,13,0,0,0,0,13,0,0.5,0.0
Maldives,13,0,0,0,0,13,0,24.0,0.0
Nigeria,12,4,0,0,1,11,0,0.06,0.0
Guam,12,4,0,0,0,12,0,71.0,0.0
Honduras,12,3,0,0,0,12,0,1.0,0.0
Cuba,11,1,1,0,0,10,0,1.0,9.09
Ghana,11,4,0,0,0,11,0,0.4,0.0
Paraguay,11,0,0,0,0,11,1,2.0,0.0
Rwanda,11,0,0,0,0,11,0,0.8,0.0
Monaco,10,1,0,0,0,10,0,255.0,0.0
Montenegro,10,2,0,0,0,10,0,16.0,0.0
Guatemala,9,1,1,0,0,8,0,0.5,11.11
Ivory_Coast,9,0,0,0,1,8,0,0.3,0.0
Trinidad_and_Tobago,9,2,0,0,0,9,0,6.0,0.0
Gibraltar,8,0,0,0,2,6,0,237.0,0.0
Channel_Islands,7,0,0,0,0,7,0,40.0,0.0
Ethiopia,7,1,0,0,0,7,0,0.06,0.0
Kenya,7,0,0,0,0,7,0,0.1,0.0
French_Polynesia,6,1,0,0,0,6,0,21.0,0.0
Mongolia,6,0,0,0,0,6,0,2.0,0.0
Puerto_Rico,6,0,0,0,0,6,0,2.0,0.0
Seychelles,6,0,0,0,0,6,0,61.0,0.0
Tanzania,6,3,0,0,0,6,0,0.1,0.0
Guyana,5,1,1,0,0,4,0,6.0,20.0
Aruba,5,1,0,0,1,4,0,47.0,0.0
Barbados,5,3,0,0,0,5,0,17.0,0.0
Equatorial_Guinea,4,0,0,0,0,4,0,3.0,0.0
Curaçao,3,0,1,1,0,2,0,18.0,33.33
Bahamas,3,2,0,0,0,3,0,8.0,0.0
Congo,3,2,0,0,0,3,0,0.5,0.0
Gabon,3,0,0,0,0,3,0,1.0,0.0
Kyrgyzstan,3,0,0,0,0,3,0,0.5,0.0
Mauritius,3,0,0,0,0,3,0,2.0,0.0
Mayotte,3,0,0,0,0,3,0,11.0,0.0
St_Barth,3,0,0,0,0,3,0,304.0,0.0
Saint_Martin,3,0,0,0,0,3,0,78.0,0.0
US_Virgin_Islands,3,1,0,0,0,3,0,29.0,0.0
Sudan,2,0,1,0,0,1,0,0.05,50.0
Benin,2,0,0,0,0,2,0,0.2,0.0
Bermuda,2,0,0,0,0,2,0,32.0,0.0
Greenland,2,0,0,0,0,2,0,35.0,0.0
Liberia,2,0,0,0,0,2,0,0.4,0.0
Mauritania,2,0,0,0,0,2,0,0.4,0.0
Namibia,2,0,0,0,0,2,0,0.8,0.0
New_Caledonia,2,0,0,0,0,2,0,7.0,0.0
Saint_Lucia,2,0,0,0,0,2,0,11.0,0.0
Zambia,2,0,0,0,0,2,0,0.1,0.0
Cayman_Islands,1,0,1,0,0,0,0,15.0,100.0
Nepal,1,0,0,0,1,0,0,0.03,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,10.0,0.0
Bhutan,1,0,0,0,0,1,0,1.0,0.0
CAR,1,0,0,0,0,1,0,0.2,0.0
Chad,1,1,0,0,0,1,0,0.06,0.0
Djibouti,1,0,0,0,0,1,0,1.0,0.0
El_Salvador,1,1,0,0,0,1,0,0.2,0.0
Fiji,1,1,0,0,0,1,0,1.0,0.0
Gambia,1,0,0,0,0,1,0,0.4,0.0
Guinea,1,0,0,0,0,1,0,0.08,0.0
Vatican_City,1,0,0,0,0,1,0,1248.0,0.0
Montserrat,1,0,0,0,0,1,0,200.0,0.0
Nicaragua,1,1,0,0,0,1,0,0.2,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,9.0,0.0
Sint_Maarten,1,0,0,0,0,1,0,23.0,0.0
Somalia,1,0,0,0,0,1,0,0.06,0.0
Suriname,1,0,0,0,0,1,0,2.0,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Togo,1,0,0,0,0,1,0,0.1,0.0
Total,239892,21104,9953,1010,86682,143257,7184,30.8,4.15
