region,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_cases,total_cases_per_million,mortality_rate
Cayman_Islands,1,0,1,0,0,0,0,0.0,100.0
Sudan,1,0,1,0,0,0,0,0.0,100.0
Nepal,1,0,0,0,1,0,0,0.0,0.0
Antigua_and_Barbuda,1,0,0,0,0,1,0,0.0,0.0
Bahamas,1,0,0,0,0,1,0,0.0,0.0
Benin,1,0,0,0,0,1,0,0.1,0.0
Bhutan,1,0,0,0,0,1,0,0.0,0.0
CAR,1,0,0,0,0,1,0,0.2,0.0
Congo,1,0,0,0,0,1,0,0.2,0.0
Equatorial_Guinea,1,0,0,0,0,1,0,0.7,0.0
Gabon,1,0,0,0,0,1,0,0.4,0.0
Greenland,1,0,0,0,0,1,0,0.0,0.0
Guinea,1,0,0,0,0,1,0,0.1,0.0
Vatican_City,1,0,0,0,0,1,0,0.0,0.0
Mauritania,1,0,0,0,0,1,0,0.2,0.0
Mayotte,1,0,0,0,0,1,0,0.0,0.0
St_Vincent_Grenadines,1,0,0,0,0,1,0,0.0,0.0
Somalia,1,0,0,0,0,1,0,0.1,0.0
Suriname,1,0,0,0,0,1,0,0.0,0.0
Eswatini,1,0,0,0,0,1,0,0.9,0.0
Tanzania,1,0,0,0,0,1,0,0.0,0.0
Togo,1,0,0,0,0,1,0,0.1,0.0
Total,196724,14274,7927,778,81683,107114,7029,25.2,4.03
